Kapitel;Datenfeld;"Pflicht
(jeweils bezogen auf das zugehörige Kapitel)";MIND-Kapitel;DIVI-Kapitel;Zugehörigkeit DIVI-MIND;Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Ausprägung;"MIND-
Teildatensatz Notarzt (NA) Rettungsdienst (RD)";Erläuterungen;Hinweise /Plausibilitäten/Abhängigkeiten;techn. Default MIND;In FHIR umgesetzt?;Anmerkung zur Umsetzung
Kapitel: Strukturdaten;Kapitel: Strukturdaten;;;;;;;;;dieses Kapitel ist immer Pflicht;;;
Strukturdaten;Protokolltyp;Ja;Strukturdaten;Dokument-Header;DM;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Typ des verwendeten Protokolls:
• NA für Notarztdokumentation
• RD für Rettungsdienstdokumentation
Sollte in Stammdaten fest dem Rettungsmittel/Personal zugewiesen werden.
Beim Wechsel von Dokumentations-Pads zwischen Fahrzeugen muss unbedingt darauf geachtet werden, dass das korrekte Rettungsmittel mit der ihm zugeordneten Projekt-ID und der richtige Protokolltyp ausgewählt sind.";"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen z.B. ProjektID, Rettungsmitteltyp, Einsatzart, Qualifikation
Personal.";;x;"Composition.type mit ValueSet Mind-Protokolltyp-VS (required; NA=na, RD=rd). Abweichung: Composition.title hardcodiert 'MIND 7.1 Rettungsdienstdokumentation', keine NA/RD-Differenzierung."
Strukturdaten;Standortkennung;Nein;Strukturdaten;EinsatztechnischeDaten;DM;E;"Amtlicher Gemeindeschlüssel des RM-Standortes
BL-LK (Bundesland-Landkreis-Rettungswache; Bundesland und Landkreis jeweils nach Vorgaben des Gemeindeschlüssels)
Werteliste siehe Tabellenblatt Codes";NA + RD;Amtlicher Gemeindeschlüssel des Rettungsmittel-Standorts.;;-2;x;"Encounter.identifier[standortkennung] mit NamingSystem mind-standortkennung; Invariante mind-standortkennung-format ^[0-9]{8}$. MIND-Default -2 nicht abbildbar."
Strukturdaten;ProjektID;Ja;Strukturdaten;;M;E;ProjektID;NA + RD;"Standortspezifische Nummer, die von einer zentralen Stelle vergeben und verwaltet wird. Standortverantwortliche sind aufgefordert, sich dort um eine ID-Zuteilung zu bemühen.
Einmalig in Stammdaten einzupflegen.";Prüfung auf Plausibilität, z.B. Leitstelle, Einsatzart, Rettungsmitteltyp, Protokolltyp.;;x;"Encounter.identifier[projektid] mit NamingSystem mind-projektid; value 1..1."
Strukturdaten;Leitstelle;Ja;Strukturdaten;PatStammdaten;DM;E;Landkreiskennung der Heimatleitstelle  (z.B. S für Stuttgart, OG für Offenburg);NA + RD;"Für einen Standort immer konstant und sollte automatisiert beim Export zugeordnet werden.
Einmalig in Stammdaten einzupflegen.";Prüfung auf Plausibilität, z.B. ProjektID und Leitstelle.;;x;"Encounter.identifier[leitstelle] mit NamingSystem mind-leitstelle; value 1..1."
Strukturdaten;Softwarekennung;"siehe Hinweise/ Plausibilitäten/
Abhängigkeiten";Strukturdaten;;M;E;Kennung des Dokumentationssystems des Rettungsmittels und der Software-Version;NA+RD;Identifikation des Dokumentationssystems und der Software-Version, mit der die Einsatzdaten erzeugt wurden.;Pflichtfeld in BW;-2;x;CompositionDeEmsMindR4.extension[softwarekennung] (MindSoftwarekennung, valueString).
Strukturdaten;EinsatzNr;Nein;;PatStammdaten;D;E;"Text, je nach Zuordnung des Rettungsmittels zu Leitstelle/Standort bzw. nach Projekt festzulegen
Zeichenlimit: 50";;Je nach Bundesland / Rettungszweckverband festgelegtes eineindeutiges Kennzeichen des Einsatzes.;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;x;"EncounterDeEmsDiviR4.identifier[einsatznr] (DIVI-Basis; MIND erbt als EncounterDeEmsMindR4) mit NamingSystem mind-einsatznr (0..1, value 1..1). DIVI-Feld (kein MIND-Kapitel)."
Strukturdaten;PatNr;Nein;;PatStammdaten;D;E;"Text, je nach Zuordnung des Rettungsmittels zu
Leitstelle/Standort bzw. nach Projekt festzulegen Zeichenlimit: 50";;Je nach Bundesland / Rettungszweckverband festgelegtes eineindeutiges Kennzeichen des Patienten.;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;x;PatientDeEmsDiviR4.identifier[patnr] mit NamingSystem mind-patnr (0..1). Bewusst nur im DIVI-Patient umgesetzt: PatientDeEmsMindR4 bleibt identifier-frei (Datenschutz). DIVI-Feld (kein MIND-Kapitel).
Strukturdaten;AuftrNr;Nein;;PatStammdaten;D;E;Text, je nach Zuordnung des Rettungsmittels zu Leitstelle/Standort bzw. nach Projekt festzulegen Zeichenlimit: 50;;Je nach Bundesland / Rettungszweckverband festgelegtes eineindeutiges Kennzeichen des RD-Auftrages.;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;x;"EncounterDeEmsDiviR4.identifier[auftragnr] (DIVI-Basis; MIND erbt als EncounterDeEmsMindR4) mit NamingSystem mind-auftragnr (0..1, value 1..1). DIVI-Feld (kein MIND-Kapitel)."
Kapitel: RettungstechnischeDaten;Kapitel: RettungstechnischeDaten;;;;;;;;;dieses Kapitel ist immer Pflicht;;;
RettungstechnischeDaten;Primaerschluessel;Ja;RettungstechnischeDaten;;M;E;"eindeutiger Primärschlüssel für alle Fälle pro Jahr
Zeichenlimit 20";NA + RD;"Innerhalb eines Leitstellenbereiches darf in einem Kalenderjahr kein Primärschlüssel mehrfach vergeben werden.
Es ist unbedingt darauf zu achten, dass im NA-Protokoll die NA-Auftragsnummer und im RD-Protokoll die RD-Auftragsnummer verwendet wird!
Bei mehreren Patienten in einem Einsatz, soll von der ""Heimatleitstelle"" für jeden Patienten eine separate Auftragsnummer zugeteilt werden. Diese ist ggf. anzufordern. Dort wo dies leitstellen-/abrechnungsseitig nicht möglich ist, soll der Primärschlüssel im jeweiligen Datensatz durch ein eindeutiges Suffix gekennzeichnet werden (bspw.
Auftragsnummer der Leitstelle ergänzt mit -01 bis -99 oder mit -A bis -Z)";;;x;"Encounter.identifier[primaerschluessel] mit NamingSystem mind-primaerschluessel; Invariante mind-primaerschluessel-laenge (max. 20 Zeichen)."
