Kapitel-/Feldname;"Pflicht
(jeweils bezogen auf das zugehˆrige Kapitel)";Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Auspr‰gung;Teildatensatz Notarzt (NA) Rettungsdienst (RD);Erl‰uterungen;Hinweise /Plausibilit‰ten/Abh‰ngigkeiten;techn. Default MIND;
Kapitel: Strukturdaten;;;;;;dieses Kapitel ist immer Pflicht;;
Protokolltyp;Ja;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Typ des verwendeten Protokolls:
ï NA f¸r Notarztdokumentation
ï RD f¸r Rettungsdienstdokumentation
Sollte in Stammdaten fest dem Rettungsmittel/Personal zugewiesen werden.
Beim Wechsel von Dokumentations-Pads zwischen Fahrzeugen muss unbedingt darauf geachtet werden, dass das korrekte Rettungsmittel mit der ihm zugeordneten Projekt-ID und der richtige Protokolltyp ausgew‰hlt sind.";Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen z.B. ProjektID, Rettungsmitteltyp, Einsatzart, Qualifikation Personal.;;
Standortkennung;Nein;E;"Amtlicher Gemeindeschl¸ssel des RM-Standortes BL-LK (Bundesland-Landkreis-Rettungswache;
Bundesland und Landkreis jeweils nach Vorgaben des Gemeindeschl¸ssels)
Werteliste siehe Tabellenblatt Codes";NA + RD;Amtlicher Gemeindeschl¸ssel des Rettungsmittel-Standorts.;;-2;
ProjektID;Ja;E;ProjektID;NA + RD;"Standortspezifische Nummer, die von einer zentralen Stelle vergeben und verwaltet wird. Standortverantwortliche sind aufgefordert, sich dort um eine ID-Zuteilung zu bem¸hen.
Einmalig in Stammdaten einzupflegen.";Pr¸fung auf Plausibilit‰t, z.B. Leitstelle, Einsatzart, Rettungsmitteltyp, Protokolltyp.;;
Leitstelle;Ja;E;Landkreiskennung der Heimatleitstelle  (z.B. S f¸r Stuttgart, OG f¸r Offenburg);NA + RD;"F¸r einen Standort immer konstant und sollte automatisiert beim Export zugeordnet werden.
Einmalig in Stammdaten einzupflegen.";Pr¸fung auf Plausibilit‰t, z.B. ProjektID und Leitstelle.;;
Softwarekennung;"siehe Hinweise/ Plausibilit‰ten/
Abh‰ngigkeiten";E;Kennung des Dokumentationssystems des Rettungsmittels und der Software-Version;NA+RD;Identifikation des Dokumentationssystems und der Software-Version, mit der die Einsatzdaten erzeugt wurden.;Pflichtfeld in BW;-2;
Kapitel: RettungstechnischeDaten;;;;;;dieses Kapitel ist immer Pflicht;;
Primaerschluessel;Ja;E;"eindeutiger Prim‰rschl¸ssel f¸r alle F‰lle pro Jahr
Zeichenlimit 20";NA + RD;"Innerhalb eines Leitstellenbereiches darf in einem Kalenderjahr kein Prim‰rschl¸ssel mehrfach vergeben werden.
Es ist unbedingt darauf zu achten, dass im NA-Protokoll die NA-Auftragsnummer und im RD-Protokoll die RD-Auftragsnummer verwendet wird!
Bei mehreren Patienten in einem Einsatz, soll von der ""Heimatleitstelle"" f¸r jeden Patienten eine separate Auftragsnummer zugeteilt werden. Diese ist ggf. anzufordern. Dort wo dies leitstellen-/abrechnungsseitig nicht mˆglich ist, soll der Prim‰rschl¸ssel im jeweiligen Datensatz durch ein eindeutiges Suffix gekennzeichnet werden (bspw. Auftragsnummer der Leitstelle erg‰nzt mit -01 bis -99 oder mit -A bis -Z)";;;
EinsatzArt;Ja;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Art des RD-Einsatzes/Notarzteinsatzes
F¸r die Auswahl des zutreffenden Codes ist der Status zum Zeitpunkt der Alarmierung des dokumentierenden Rettungsmittels durch die Leitstelle maﬂgeblich.
(d.h. in einem NA-Protokoll d¸rfen unter EinsatzArt nur Auspr‰gungen mit dem Inhalt ""mit (physisch anwesendem) NA"" dokumentiert werden, auch wenn der NA nachgefordert wurde und die prim‰re Alarmierung des RTW ohne NA erfolgte.
Im RD-Protokoll d¸rfen - sofern bei Alarmierung des RTW (noch) keine Alarmierung eines NA/TNA erfolgt
ist - unter EinsatzArt nur Auspr‰gungen mit dem Inhalt ""ohne NA"" dokumentiert werden, auch wenn es sp‰ter zu einer NA-Nachforderung kam.)
Einsatzarten ""mit (physisch anwesendem) NA"" (01, 03, 05, 07) bzw. ""mit...TNA"" (02, 03, 06, 07) sind immer dann auszuw‰hlen, wenn bis zum Zeitpunkt der Alarmierung des dokumentierenden RM ein NA oder ein TNA ebenfalls alarmiert wurden.
Dienstfahrt und Pause sind organisatorische Einsatzarten, die in keinem Bezug zu einem beabsichtigten oder tats‰chlichen Patientenkontakt stehen (beispielsweise Fahrt in die Kfz-Werkstatt). Ein Materialtransport, f¸r den ein Patientenbezug hergestellt werden kann (z.B. Transport eines Inkubators
durch einen RTW zu einem anderen Einsatz) ist nicht mit Dienstfahrt zu kodieren.
Wenn ein RTW von der Leitstelle einen Krankentransportauftrag erhalten hat, ist als EinsatzArt Krankentransport auszuw‰hlen.";"Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen.
Wenn Protokolltyp NA, dann ist EinsatzArt GLEICH  (04 ODER  08 ODER  10) unzul‰ssig.";;
Gemeindeschluessel;Nein;E;"Amtlicher Gemeindeschl¸ssel des Einsatzortes
Werteliste siehe Tabellenblatt Codes";NA + RD;Quelle ist das Statistische Bundesamt. Der Amtliche Gemeindeschl¸ssel (AGS) ist ein 8-stelliger Schl¸ssel zur eindeutigen Identifizierung einer Gemeinde mit den Bestandteilen: Bundesland (2 Stellen), Regierungsbezirk (1 Stelle), Kreis (2 Stellen) und Gemeinde (3 Stellen);;-2;
